val_id,id,study,Is the model published previously?,movement_behaviour,model_type,model_test_outcomes,model_test_classification,test_criterion,age_group,test_device,health,wear_site,features,single_feature,method,method_sub,method_group,train_environment,train_protocol,test_environment,test_protocol,validation_type,mape_mean,mape_sd,rmse_met_mean,rmse_met_sd,n_participants,sd_origin,k_folds,other
272,3598,Sirichana 2017,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GENEActiv (ActivInsights),Healthy,Non-dominant wrist,Time-domain,SVM-g (g.min),Threshold / Cutpoint,Linear regression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,Apparent,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,r2
311,35988,Song 2025,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,Shenzhen WitMotion Technology,Apparently healthy,Non-dominant wrist,Time-domain; Frequency-domain; Anthropometrics and physiology data,n.a.,Deep Learning,CNN + LSTM,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,0.139,0..096,15,cv_folds,15,"r2, mae"
312,35988,Song 2025,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,Shenzhen WitMotion Technology,Apparently healthy,Non-dominant wrist,Time-domain; Frequency-domain; Anthropometrics and physiology data,n.a.,Deep Learning,CNN + LSTM,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Hold-out,n.r.,n.r.,0.159,n.r.,4,n.r.,n.a.,"r2, mae"
313,36060,Coyle-Asbil 2025,No,Energy expenditure association,Supervised regression,"PAEE (METs, kJ/min)",n.a.,IC,Children and Youth,"OPAL sensors (APDM, Portland, USA)",Apparently healthy,Right wrist; Left wrist,Time-domain; Frequency-domain; Other: Participant features also included,n.a.,Classical ML,RandomForest,Machine Learning or Other Models,Hybrid,Hybrid,Hybrid,Hybrid,Cross-validation,n.r.,n.r.,0.676,0.213,21,cv_folds,21,
314,36060,Coyle-Asbil 2025,No,Energy expenditure association,Supervised regression,"PAEE (METs, kJ/min)",n.a.,IC,Children and Youth,"OPAL sensors (APDM, Portland, USA)",Apparently healthy,Right wrist; Left wrist,Time-domain; Frequency-domain; Other: Participant features also included,n.a.,Classical ML,RandomForest,Machine Learning or Other Models,Hybrid,Hybrid,Hybrid,Hybrid,Hold-out,n.r.,n.r.,0.655,0.164,11,participants,n.a.,
315,36060,Coyle-Asbil 2025,No,Energy expenditure association,Supervised regression,"PAEE (METs, kJ/min)",n.a.,IC,Children and Youth,"GENEActiv (ActivInsights Ltd, UK)",Apparently healthy,Right wrist; Left wrist,Time-domain; Frequency-domain; Other: Participant features also included,n.a.,Classical ML,RandomForest,Machine Learning or Other Models,Hybrid,Hybrid,Hybrid,Hybrid,External,n.r.,n.r.,0.998,0.167,40,participants,n.a.,
316,36944,Remillard 2024,Yes - Hildebrand 2014,Energy expenditure association,Supervised regression,PAEE (VO2 ml/kg/min),n.a.,IC,Adults,GT3X+ (ActiGraph),Apparently healthy,Non-dominant wrist,Time-domain,ENMO (mg),Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Laboratory,Structured,Laboratory,Structured,External,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,bias
317,37669,Coyle-Asbil 2026,No,Energy expenditure association,Supervised regression,"PAEE (METs, kJ/min)",n.a.,IC,Children and Youth,OPAL (APDM),Apparently healthy,Right wrist; Left wrist,Time-domain; Frequency-domain,n.a.,Classical ML,RandomForest,Machine Learning or Other Models,Hybrid,Hybrid,Hybrid,Hybrid,Hold-out,n.r.,n.r.,0.655,0.164,11,participants,n.a.,
318,37669,Coyle-Asbil 2026,No,Energy expenditure association,Supervised regression,"PAEE (METs, kJ/min)",n.a.,IC,Children and Youth,OPAL (APDM),Apparently healthy,Right wrist; Left wrist,Time-domain; Frequency-domain,n.a.,Classical ML,RandomForest,Machine Learning or Other Models,Hybrid,Hybrid,Hybrid,Hybrid,Cross-validation,n.r.,n.r.,0.702,0.219,21,cv_folds,21,
319,37669,Coyle-Asbil 2026,No,Energy expenditure association,Supervised regression,"PAEE (METs, kJ/min)",n.a.,IC,Children and Youth,OPAL (APDM),Apparently healthy,Right wrist; Left wrist,Time-domain; Frequency-domain,n.a.,Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Hybrid,Hybrid,Hybrid,Hybrid,Hold-out,n.r.,n.r.,0.666,0.160,11,participants,n.a.,
320,37669,Coyle-Asbil 2026,No,Energy expenditure association,Supervised regression,"PAEE (METs, kJ/min)",n.a.,IC,Children and Youth,OPAL (APDM),Apparently healthy,Right wrist; Left wrist,Time-domain; Frequency-domain,n.a.,Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Hybrid,Hybrid,Hybrid,Hybrid,Cross-validation,n.r.,n.r.,0.737,0.202,21,cv_folds,21,
321,38596,Coyle-Asbil 2024,No,Energy expenditure association,Supervised regression,"PAEE (METs, kJ/min, and J/min/kg)",n.a.,IC,Children and Youth,"GENEActiv (ActivInsights Ltd, UK)",Apparently healthy,Right wrist; Left wrist,Time-domain,n.a.,Deep Learning,CNN,Machine Learning or Other Models,Hybrid,Hybrid,Hybrid,Hybrid,Cross-validation,n.r.,n.r.,1.4,0.33,39,cv_folds,39,
322,38596,Coyle-Asbil 2024,No,Energy expenditure association,Supervised regression,"PAEE (METs, kJ/min, and J/min/kg)",n.a.,IC,Children and Youth,"GENEActiv (ActivInsights Ltd, UK)",Apparently healthy,Right wrist; Left wrist,Time-domain,n.a.,Linear / GLM,LinearRegression,Threshold/Heuristic or Linear Models,Hybrid,Hybrid,Hybrid,Hybrid,Cross-validation,n.r.,n.r.,1.69,0.38,39,cv_folds,39,
323,38596,Coyle-Asbil 2024,Yes - Steenbock 2019,Energy expenditure association,Supervised regression,"PAEE (METs, kJ/min, and J/min/kg)",n.a.,IC,Children and Youth,OPAL (APDM),Apparently healthy,Right wrist; Left wrist,Time-domain,n.a.,Classical ML,RandomForest,Machine Learning or Other Models,Hybrid,Structured,Hybrid,Hybrid,External,n.r.,n.r.,1.72,0.55,31,participants,n.a.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
